2025-10-19 05:15:11 EEST | INFO     | trading_bot | Downloading historical klines for DOGEUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:15:11 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BATUSDT 1h
2025-10-19 05:15:11 EEST | INFO     | trading_bot | Saved 1 klines for BATUSDT 1h
2025-10-19 05:15:28 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ALGOUSDT 15m
2025-10-19 05:15:28 EEST | INFO     | trading_bot | Saved 2 klines for ALGOUSDT 15m
2025-10-19 05:15:28 EEST | INFO     | trading_bot | Downloading historical klines for ALGOUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for 1000PEPEUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 1000PEPEUSDT OI: Current=12073366963, Delta=-62098610, DOI%=-0.51%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for 1000FLOKIUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 1000FLOKIUSDT OI: Current=151231250, Delta=152548, DOI%=0.10%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for SUIUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 SUIUSDT OI: Current=50727631, Delta=58748, DOI%=0.12%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for UMAUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 UMAUSDT OI: Current=4384719, Delta=-1596, DOI%=-0.04%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for NMRUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 NMRUSDT OI: Current=758594, Delta=138, DOI%=0.02%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for YGGUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 YGGUSDT OI: Current=50305128, Delta=68395, DOI%=0.14%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for TWTUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 TWTUSDT OI: Current=7093825, Delta=3389, DOI%=0.05%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for ORDIUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 ORDIUSDT OI: Current=1738089, Delta=-1275, DOI%=-0.07%
2025-10-19 05:15:28 EEST | INFO     | trading_bot | ✅ OI History OK for PENDLEUSDT: 30 records
2025-10-19 05:15:28 EEST | INFO     | trading_bot | 📊 PENDLEUSDT OI: Current=5798768, Delta=14580, DOI%=0.25%
