2025-10-14 12:33:04 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=2610+0, binance=2680 (diff: +70)
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.98s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.98s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.98s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.98s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.98s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.98s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.98s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.98s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.98s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.98s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.99s
2025-10-14 12:33:04 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:00 (56s)
2025-10-14 12:33:04 EEST | WARNING  | trading_bot | Rate limit hit (attempt 1/5), backing off for 1.99s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:01 (54s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.14s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:01 (54s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.14s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:01 (54s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.19s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:01 (54s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.19s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:01 (54s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.19s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:01 (54s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.19s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:01 (54s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.20s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:01 (54s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.20s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:01 (54s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.20s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1080s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.20s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1080s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.21s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1080s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.21s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:53:07 (1200s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.22s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:34:01 (54s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.22s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:55:07 (1320s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.22s
2025-10-14 12:33:07 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=2921+0, binance=0 (diff: -2921)
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1080s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.22s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1080s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.23s
2025-10-14 12:33:07 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=0+0, binance=2931 (diff: +2931)
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:57:07 (1440s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.23s
2025-10-14 12:33:07 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=2931+0, binance=0 (diff: -2931)
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:55:07 (1320s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.23s
2025-10-14 12:33:07 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=0+0, binance=2951 (diff: +2951)
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:59:07 (1560s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.23s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:59:07 (1560s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.23s
2025-10-14 12:33:07 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=2941+0, binance=0 (diff: -2941)
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1080s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.23s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1080s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.23s
2025-10-14 12:33:07 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=0+0, binance=2961 (diff: +2961)
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:01:07 (1680s)
2025-10-14 12:33:07 EEST | WARNING  | trading_bot | Rate limit hit (attempt 2/5), backing off for 2.24s
2025-10-14 12:33:07 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:03:07 (1800s)
