2025-10-19 08:15:09 EEST | INFO     | trading_bot | Saved 1 klines for ARBUSDT 15m
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Updating missing candles for 1000BONKUSDT 15m from 2025-10-19 04:46:00+00:00
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Downloading historical klines for 1000BONKUSDT 15m from 2025-10-19 04:46:00+00:00 to 2025-10-19 05:15:09.084838+00:00 (1 days)
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Updating missing candles for 1000BONKUSDT 1h from 2025-10-19 04:01:00+00:00
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Downloading historical klines for 1000BONKUSDT 1h from 2025-10-19 04:01:00+00:00 to 2025-10-19 05:15:09.085813+00:00 (1 days)
2025-10-19 08:15:09 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - TLMUSDT 15m
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Saved 1 klines for TLMUSDT 15m
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Updating missing candles for 1000BONKUSDT 4h from 2025-10-18 20:01:00+00:00
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Downloading historical klines for 1000BONKUSDT 4h from 2025-10-18 20:01:00+00:00 to 2025-10-19 05:15:09.090463+00:00 (1 days)
2025-10-19 08:15:09 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - TLMUSDT 1h
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Saved 0 klines for TLMUSDT 1h
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Updating missing candles for PYTHUSDT 15m from 2025-10-19 04:46:00+00:00
2025-10-19 08:15:09 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 15m from 2025-10-19 04:46:00+00:00 to 2025-10-19 05:15:09.094462+00:00 (1 days)
2025-10-19 08:15:31 EEST | INFO     | trading_bot | 📊 Loading: 203/203 (100.0%) | Queue: 0 ready | Ready: 203 symbols | Failed: 0 | 7 strategies | 5 signals | Rate: 73.8% | Next check in 874s
