2025-10-20 11:58:40 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - CELOUSDT 15m
2025-10-20 11:58:40 EEST | INFO     | trading_bot | Saved 0 klines for CELOUSDT 15m
2025-10-20 11:58:40 EEST | INFO     | trading_bot | Downloading historical klines for CELOUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:40 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - CELOUSDT 1h
2025-10-20 11:58:40 EEST | INFO     | trading_bot | Saved 0 klines for CELOUSDT 1h
2025-10-20 11:58:40 EEST | INFO     | trading_bot | Downloading historical klines for CELOUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:41 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - CELOUSDT 4h
2025-10-20 11:58:41 EEST | INFO     | trading_bot | Saved 0 klines for CELOUSDT 4h
2025-10-20 11:58:41 EEST | INFO     | trading_bot | Downloading historical klines for CELOUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:41 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - CELOUSDT 1d
2025-10-20 11:58:41 EEST | INFO     | trading_bot | Saved 0 klines for CELOUSDT 1d
2025-10-20 11:58:41 EEST | INFO     | trading_bot | Downloading historical klines for ARUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:41 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ARUSDT 15m
2025-10-20 11:58:41 EEST | INFO     | trading_bot | Saved 0 klines for ARUSDT 15m
2025-10-20 11:58:41 EEST | INFO     | trading_bot | Downloading historical klines for ARUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:42 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ARUSDT 1h
2025-10-20 11:58:42 EEST | INFO     | trading_bot | Saved 0 klines for ARUSDT 1h
2025-10-20 11:58:42 EEST | INFO     | trading_bot | Downloading historical klines for ARUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:42 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ARUSDT 4h
2025-10-20 11:58:42 EEST | INFO     | trading_bot | Saved 0 klines for ARUSDT 4h
2025-10-20 11:58:42 EEST | INFO     | trading_bot | Downloading historical klines for ARUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:42 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ARUSDT 1d
2025-10-20 11:58:42 EEST | INFO     | trading_bot | Saved 0 klines for ARUSDT 1d
2025-10-20 11:58:42 EEST | INFO     | trading_bot | Downloading historical klines for ENSUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:43 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ENSUSDT 15m
2025-10-20 11:58:43 EEST | INFO     | trading_bot | Saved 0 klines for ENSUSDT 15m
2025-10-20 11:58:43 EEST | INFO     | trading_bot | Downloading historical klines for ENSUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:43 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ENSUSDT 1h
2025-10-20 11:58:43 EEST | INFO     | trading_bot | Saved 0 klines for ENSUSDT 1h
2025-10-20 11:58:43 EEST | INFO     | trading_bot | Downloading historical klines for ENSUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:43 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ENSUSDT 4h
2025-10-20 11:58:43 EEST | INFO     | trading_bot | Saved 0 klines for ENSUSDT 4h
2025-10-20 11:58:43 EEST | INFO     | trading_bot | Downloading historical klines for ENSUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:44 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ENSUSDT 1d
2025-10-20 11:58:44 EEST | INFO     | trading_bot | Saved 0 klines for ENSUSDT 1d
2025-10-20 11:58:44 EEST | INFO     | trading_bot | Downloading historical klines for PEOPLEUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:44 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - PEOPLEUSDT 15m
2025-10-20 11:58:44 EEST | INFO     | trading_bot | Saved 0 klines for PEOPLEUSDT 15m
2025-10-20 11:58:44 EEST | INFO     | trading_bot | Downloading historical klines for PEOPLEUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:44 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - PEOPLEUSDT 1h
2025-10-20 11:58:44 EEST | INFO     | trading_bot | Saved 0 klines for PEOPLEUSDT 1h
2025-10-20 11:58:44 EEST | INFO     | trading_bot | Downloading historical klines for PEOPLEUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:44 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - PEOPLEUSDT 4h
2025-10-20 11:58:44 EEST | INFO     | trading_bot | Saved 0 klines for PEOPLEUSDT 4h
2025-10-20 11:58:45 EEST | INFO     | trading_bot | Downloading historical klines for PEOPLEUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:45 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - PEOPLEUSDT 1d
2025-10-20 11:58:45 EEST | INFO     | trading_bot | Saved 0 klines for PEOPLEUSDT 1d
2025-10-20 11:58:45 EEST | INFO     | trading_bot | Downloading historical klines for FLOWUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:45 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - FLOWUSDT 15m
2025-10-20 11:58:45 EEST | INFO     | trading_bot | Saved 0 klines for FLOWUSDT 15m
2025-10-20 11:58:45 EEST | INFO     | trading_bot | Downloading historical klines for FLOWUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:45 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - FLOWUSDT 1h
2025-10-20 11:58:45 EEST | INFO     | trading_bot | Saved 0 klines for FLOWUSDT 1h
2025-10-20 11:58:45 EEST | INFO     | trading_bot | Downloading historical klines for FLOWUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:46 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - FLOWUSDT 4h
2025-10-20 11:58:46 EEST | INFO     | trading_bot | Saved 0 klines for FLOWUSDT 4h
2025-10-20 11:58:46 EEST | INFO     | trading_bot | Downloading historical klines for FLOWUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:46 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - FLOWUSDT 1d
2025-10-20 11:58:46 EEST | INFO     | trading_bot | Saved 0 klines for FLOWUSDT 1d
2025-10-20 11:58:46 EEST | INFO     | trading_bot | Downloading historical klines for IMXUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:46 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - IMXUSDT 15m
2025-10-20 11:58:46 EEST | INFO     | trading_bot | Saved 0 klines for IMXUSDT 15m
2025-10-20 11:58:46 EEST | INFO     | trading_bot | Downloading historical klines for IMXUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:47 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - IMXUSDT 1h
2025-10-20 11:58:47 EEST | INFO     | trading_bot | Saved 0 klines for IMXUSDT 1h
2025-10-20 11:58:47 EEST | INFO     | trading_bot | Downloading historical klines for IMXUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:47 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - IMXUSDT 4h
2025-10-20 11:58:47 EEST | INFO     | trading_bot | Saved 0 klines for IMXUSDT 4h
2025-10-20 11:58:47 EEST | INFO     | trading_bot | Downloading historical klines for IMXUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:58:47 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - IMXUSDT 1d
2025-10-20 11:58:47 EEST | INFO     | trading_bot | Saved 0 klines for IMXUSDT 1d
2025-10-20 11:58:47 EEST | INFO     | trading_bot | ⏸️ Pausing burst catchup: rate limit at 100.0% of safe threshold
2025-10-20 11:58:47 EEST | INFO     | trading_bot | 🛑 Batch operation paused at 55.2% limit (1320+0/1320), waiting 13.1s for reset
2025-10-20 11:59:01 EEST | INFO     | trading_bot | ✅ Batch rate limit window reset, counters cleared
2025-10-20 11:59:01 EEST | INFO     | trading_bot | Downloading historical klines for API3USDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - API3USDT 15m
2025-10-20 11:59:01 EEST | INFO     | trading_bot | Saved 0 klines for API3USDT 15m
2025-10-20 11:59:01 EEST | INFO     | trading_bot | Downloading historical klines for API3USDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - API3USDT 1h
2025-10-20 11:59:01 EEST | INFO     | trading_bot | Saved 0 klines for API3USDT 1h
2025-10-20 11:59:01 EEST | INFO     | trading_bot | Downloading historical klines for API3USDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - API3USDT 4h
2025-10-20 11:59:01 EEST | INFO     | trading_bot | Saved 0 klines for API3USDT 4h
2025-10-20 11:59:01 EEST | INFO     | trading_bot | Downloading historical klines for API3USDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:02 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - API3USDT 1d
2025-10-20 11:59:02 EEST | INFO     | trading_bot | Saved 0 klines for API3USDT 1d
2025-10-20 11:59:02 EEST | INFO     | trading_bot | Downloading historical klines for APEUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:02 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - APEUSDT 15m
2025-10-20 11:59:02 EEST | INFO     | trading_bot | Saved 0 klines for APEUSDT 15m
2025-10-20 11:59:02 EEST | INFO     | trading_bot | Downloading historical klines for APEUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:02 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - APEUSDT 1h
2025-10-20 11:59:02 EEST | INFO     | trading_bot | Saved 0 klines for APEUSDT 1h
2025-10-20 11:59:02 EEST | INFO     | trading_bot | Downloading historical klines for APEUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - APEUSDT 4h
2025-10-20 11:59:03 EEST | INFO     | trading_bot | Saved 0 klines for APEUSDT 4h
2025-10-20 11:59:03 EEST | INFO     | trading_bot | Downloading historical klines for APEUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - APEUSDT 1d
2025-10-20 11:59:03 EEST | INFO     | trading_bot | Saved 0 klines for APEUSDT 1d
