2025-10-21 23:15:34 EEST | INFO     | trading_bot |   [4/4] ✓ 1000BONKUSDT 1d up-to-date (fresh)
2025-10-21 23:15:34 EEST | INFO     | trading_bot | ✓ 1000BONKUSDT loaded and ready for analysis
2025-10-21 23:15:34 EEST | INFO     | trading_bot | ✅ 1000BONKUSDT ready for analysis (94 symbols analyzing)
2025-10-21 23:15:34 EEST | INFO     | trading_bot | [89/237] Checking PYTHUSDT... (37.6%)
2025-10-21 23:15:34 EEST | INFO     | trading_bot |   [1/4] 🔄 PYTHUSDT 15m - updating from 2025-10-21 19:46
2025-10-21 23:15:34 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 15m from 2025-10-21 19:46:00+00:00 to 2025-10-21 20:15:34.966441+00:00 (1 days)
2025-10-21 23:15:35 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - PYTHUSDT 15m
2025-10-21 23:15:35 EEST | INFO     | trading_bot | Saved 1 klines for PYTHUSDT 15m
2025-10-21 23:15:36 EEST | WARNING  | trading_bot |   [1/4] ⚠️ PYTHUSDT 15m: 1 internal gaps detected
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 15m at 2025-10-21 19:45:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 15m from 2025-10-21 19:45:00+00:00 to 2025-10-21 19:30:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 15m
2025-10-21 23:15:36 EEST | INFO     | trading_bot |   [1/4] ✅ PYTHUSDT 15m: all 1 gaps fixed
2025-10-21 23:15:36 EEST | INFO     | trading_bot |   [2/4] 🔄 PYTHUSDT 1h - updating from 2025-10-21 19:01
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-21 19:01:00+00:00 to 2025-10-21 20:15:34.966441+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | WARNING  | trading_bot |   [2/4] ⚠️ PYTHUSDT 1h: 72 internal gaps detected
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 02:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 02:00:00+00:00 to 2025-10-17 01:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 03:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 03:00:00+00:00 to 2025-10-17 02:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 04:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 04:00:00+00:00 to 2025-10-17 03:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 05:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 05:00:00+00:00 to 2025-10-17 04:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 06:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 06:00:00+00:00 to 2025-10-17 05:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 07:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 07:00:00+00:00 to 2025-10-17 06:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 08:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 08:00:00+00:00 to 2025-10-17 07:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 09:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 09:00:00+00:00 to 2025-10-17 08:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 10:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 10:00:00+00:00 to 2025-10-17 09:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-17 11:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-17 11:00:00+00:00 to 2025-10-17 10:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
