2025-10-11 11:33:39 EEST | INFO     | 🔍 АНАЛИЗ: XTZUSDT | Режим: SQUEEZE | Bias: bearish
2025-10-11 11:33:39 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:33:39 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: ORB/IRB (15m)
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ ORB/IRB → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (1h)
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:33:39 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:33:39 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
