2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 15m
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 10:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 10:00:00+00:00 to 2025-10-18 09:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 11:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 11:00:00+00:00 to 2025-10-18 10:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 12:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 12:00:00+00:00 to 2025-10-18 11:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 13:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 13:00:00+00:00 to 2025-10-18 12:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 14:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 14:00:00+00:00 to 2025-10-18 13:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 15:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 15:00:00+00:00 to 2025-10-18 14:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 16:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 16:00:00+00:00 to 2025-10-18 15:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 17:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 17:00:00+00:00 to 2025-10-18 16:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 18:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 18:00:00+00:00 to 2025-10-18 17:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 19:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 19:00:00+00:00 to 2025-10-18 18:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 20:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 20:00:00+00:00 to 2025-10-18 19:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 21:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 21:00:00+00:00 to 2025-10-18 20:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 22:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 22:00:00+00:00 to 2025-10-18 21:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-18 23:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-18 23:00:00+00:00 to 2025-10-18 22:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-19 00:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-19 00:00:00+00:00 to 2025-10-18 23:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-19 01:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 00:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-19 02:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-19 02:00:00+00:00 to 2025-10-19 01:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-19 03:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-19 03:00:00+00:00 to 2025-10-19 02:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-20 23:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-20 23:00:00+00:00 to 2025-10-20 22:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Fixing gap: BLESSUSDT 1h at 2025-10-22 12:00:00+00:00 (-1 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for BLESSUSDT 1h from 2025-10-22 12:00:00+00:00 to 2025-10-22 11:00:00+00:00 (1 days)
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Saved 0 klines for BLESSUSDT 1h
2025-10-23 02:13:15 EEST | INFO     | trading_bot |   ✅ 1h: all 26 gaps fixed
2025-10-23 02:13:15 EEST | INFO     | trading_bot |   📈 4h: 32.8% coverage (177/540 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot |   ✅ 4h: no internal gaps detected
2025-10-23 02:13:15 EEST | INFO     | trading_bot |   📈 1d: 32.2% coverage (29/90 candles)
2025-10-23 02:13:15 EEST | INFO     | trading_bot |   ✅ 1d: no internal gaps detected
2025-10-23 02:13:15 EEST | WARNING  | trading_bot | BLESSUSDT 15m: incomplete data (33.0% coverage, 2848/8640 candles)
2025-10-23 02:13:15 EEST | WARNING  | trading_bot | ⚠️ AUTO-REFILL finished for BLESSUSDT: still below 99% threshold
2025-10-23 02:13:15 EEST | WARNING  | trading_bot | ⚠️ BLESSUSDT: auto-refill failed
2025-10-23 02:13:15 EEST | INFO     | trading_bot | 🆕 BLESSUSDT is new (29 days old), skipping incomplete alert
2025-10-23 02:13:15 EEST | ERROR    | trading_bot | Symbol BLESSUSDT failed to load: Loading failed after 3 attempts
2025-10-23 02:13:15 EEST | INFO     | trading_bot | [211/239] Checking COAIUSDT... (88.3%)
2025-10-23 02:13:15 EEST | INFO     | trading_bot |   [1/4] 🔄 COAIUSDT 15m - updating from 2025-10-22 22:16
2025-10-23 02:13:15 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 15m from 2025-10-22 22:16:00+00:00 to 2025-10-22 23:13:15.759171+00:00 (1 days)
2025-10-23 02:13:16 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - COAIUSDT 15m
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Saved 2 klines for COAIUSDT 15m
2025-10-23 02:13:16 EEST | WARNING  | trading_bot |   [1/4] ⚠️ COAIUSDT 15m: 10 internal gaps detected
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 15m at 2025-10-20 23:00:00+00:00 (-1 candles)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 15m from 2025-10-20 23:00:00+00:00 to 2025-10-20 22:45:00+00:00 (1 days)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 15m
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 15m at 2025-10-21 19:45:00+00:00 (-1 candles)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 15m from 2025-10-21 19:45:00+00:00 to 2025-10-21 19:30:00+00:00 (1 days)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Saved 0 klines for COAIUSDT 15m
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Fixing gap: COAIUSDT 15m at 2025-10-22 10:00:00+00:00 (-1 candles)
2025-10-23 02:13:16 EEST | INFO     | trading_bot | Downloading historical klines for COAIUSDT 15m from 2025-10-22 10:00:00+00:00 to 2025-10-22 09:45:00+00:00 (1 days)
