2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-19 22:15:00+00:00 to 2025-10-19 22:00:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-19 22:30:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-19 22:30:00+00:00 to 2025-10-19 22:15:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-19 22:45:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-19 22:45:00+00:00 to 2025-10-19 22:30:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-19 23:00:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-19 23:00:00+00:00 to 2025-10-19 22:45:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-19 23:15:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-19 23:15:00+00:00 to 2025-10-19 23:00:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-19 23:30:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-19 23:30:00+00:00 to 2025-10-19 23:15:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-19 23:45:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-19 23:45:00+00:00 to 2025-10-19 23:30:00+00:00 (1 days)
