2025-10-18 11:03:03 EEST | WARNING  | trading_bot | ⚠️ Rate limit threshold reached (55.4% of limit), pausing for 57.8s (current: 1181+139/1320)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for TAUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for TAUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:03.167654+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - OPUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for OPUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for OPUSDT 1h from 2025-10-18 07:00:00+00:00 to 2025-10-18 08:00:32.387442+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - JASMYUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for JASMYUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for JASMYUSDT 1h from 2025-10-18 07:00:00+00:00 to 2025-10-18 08:00:32.387442+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - INJUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for INJUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for INJUSDT 1h from 2025-10-18 07:00:00+00:00 to 2025-10-18 08:00:32.387442+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - LAUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 2 klines for LAUSDT 15m
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BDXNUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for BDXNUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - LAUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for LAUSDT 1h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for TAUSDT 1h from 2025-10-18 06:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for TAUSDT 1h from 2025-10-18 06:01:00+00:00 to 2025-10-18 08:03:03.209652+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for TAUSDT 4h from 2025-10-18 00:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for TAUSDT 4h from 2025-10-18 00:01:00+00:00 to 2025-10-18 08:03:03.211653+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for ZORAUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for ZORAUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:03.212668+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - LAUSDT 4h
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Saved 1 klines for LAUSDT 4h
